trial,blend_rate,borrow_penalty,cov_lookback_days,rebalance_freq,spread_penalty,vol_cap,vol_floor,vol_lookback_days,vol_target,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
330,0.7916712827744108,1.48978446809365,21,51,1.4958634370567776,0.8139895952831353,0.41962458873253894,6,0.2723401731867687,-0.654864,-3.777456,0.587361,1.542632,2.823481,1.719419,0.824043,2.401541,2.698816,-2.081247,2.390319,-2.441462,0.334505,-1.239393,3.883892,-1.940328,5.261601,2.254763,-0.863805,-0.547655,-3.419361,0.945482,-2.440375,3.261939,1.195943,2.053972,3.926403,3.029338,2.447046,-3.993157,0.565190,3.084074,5.937030,0.223645,-3.057748,3.905308,0.856692,6.773319,2.602560,-3.993157,5.937030,0.329173,0.2
341,0.764842719332407,1.4894668752557116,15,51,1.556867764793446,0.7853436255566917,0.4574179720025712,5,0.2688620882600804,-0.619817,-3.827413,0.601177,1.469944,2.868802,1.758767,0.819138,2.453964,2.734898,-2.017109,2.361381,-2.524377,0.335128,-1.276395,3.843032,-1.994777,5.348331,2.390652,-0.849224,-0.542735,-3.410162,1.003820,-2.385022,3.203806,1.119730,2.136331,3.928952,3.008568,2.335195,-3.995194,0.321638,3.130762,6.073047,0.158632,-3.102354,3.976308,0.856595,6.886757,2.624263,-3.995194,6.073047,0.326414,0.2
333,0.778995293484925,1.4806159442714344,20,56,1.5100180938836265,0.8208761392147421,0.3822245124094532,7,0.2752145205052373,-0.661512,-3.798799,0.592783,1.553992,2.796541,1.754298,0.802329,2.420845,2.715032,-2.062954,2.398994,-2.459881,0.383452,-1.254246,3.858278,-1.971048,5.253629,2.236951,-0.856443,-0.563223,-3.469060,0.984757,-2.476296,3.264525,1.216177,2.048961,3.932792,3.054499,2.433516,-3.977021,0.538552,3.088099,5.970441,0.235905,-3.069456,3.920868,0.856563,6.815235,2.610601,-3.977021,5.970441,0.328110,0.2
473,0.2642597078081124,1.4993003805513478,20,53,1.5104564360037385,0.8229283726139419,0.1445424353383966,32,0.13183278509288657,-0.612614,-3.796911,0.572925,1.516879,2.812903,1.666213,0.827755,2.393461,2.722764,-2.073477,2.397084,-2.480017,0.355077,-1.226191,3.868536,-1.979866,5.285790,2.273748,-0.857560,-0.526075,-3.461899,0.976974,-2.423800,3.254471,1.168101,2.044034,3.919240,3.075678,2.473967,-3.970505,0.553970,3.082426,5.955646,0.204422,-3.065984,3.907050,0.856506,6.799962,2.607674,-3.970505,5.955646,0.328456,0.2
163,0.15022923559781123,1.5553251926509226,23,48,1.5391177085540242,0.7383433413073712,0.25363763124289224,11,0.1396133952283972,-0.540679,-3.827726,0.544135,1.412337,2.841289,1.443418,0.885179,2.367923,2.734456,-2.077683,2.400088,-2.534747,0.255368,-1.212680,3.887227,-1.956857,5.390137,2.448715,-0.868915,-0.433910,-3.395793,0.981980,-2.298680,3.167799,1.072982,2.036816,3.920191,3.065361,2.562235,-3.983286,0.557965,3.018617,5.996869,0.178162,-3.118124,3.912030,0.856450,6.816517,2.610846,-3.983286,5.996869,0.328035,0.2
306,0.7189790594207817,1.4225402229779813,14,47,1.5334818828261187,0.8445090255291821,0.3275941536044625,35,0.13010931535511072,-0.796520,-3.859950,0.680105,1.596253,2.768862,2.070064,0.794167,2.538908,2.656419,-1.973152,2.345345,-2.461154,0.449711,-1.384452,3.803026,-1.942040,5.246867,2.244870,-0.799012,-0.746817,-3.439723,1.028355,-2.533612,3.271448,1.301835,2.145130,3.973221,2.879634,2.184071,-4.018842,0.393200,3.150513,6.056786,0.259396,-3.141298,4.087076,0.856353,6.928868,2.632274,-4.018842,6.056786,0.325328,0.2
425,0.9969500519919996,1.5410561945703996,14,46,1.579243234395676,0.7822723621394824,0.33119510811272,32,0.2152620559972753,-0.508212,-3.877284,0.562253,1.388560,2.842460,1.552903,0.932513,2.384891,2.700193,-2.047911,2.337331,-2.565877,0.275546,-1.234133,3.857023,-1.985606,5.487314,2.471406,-0.830101,-0.494097,-3.388388,0.981536,-2.215005,3.207339,1.050659,2.116727,3.904212,2.973698,2.443476,-3.988043,0.429342,3.076996,6.020977,0.098761,-3.139709,4.004626,0.856288,6.865193,2.620151,-3.988043,6.020977,0.326809,0.2
374,0.971873492936602,1.4799211690924472,23,48,1.6056134674905762,0.7723630390698157,0.3416676241987314,32,0.28081153085629,-0.691949,-3.831602,0.583125,1.510648,2.801226,1.687516,0.825394,2.423463,2.734194,-2.059068,2.405502,-2.461979,0.337734,-1.298781,3.842709,-1.958315,5.354699,2.380913,-0.859997,-0.540440,-3.446157,0.985607,-2.421012,3.209916,1.208951,2.068260,3.973481,3.025968,2.460481,-4.005597,0.445981,3.007358,6.041761,0.262854,-3.133773,3.955792,0.856246,6.887301,2.624367,-4.005597,6.041761,0.326268,0.2
268,0.9963684076752647,1.5516630460337257,23,47,1.5358951559454102,0.741674292624256,0.33310291979397805,33,0.13455161368132296,-0.543468,-3.823791,0.541669,1.415280,2.842260,1.448356,0.885785,2.364438,2.732734,-2.077719,2.400503,-2.530112,0.258311,-1.208948,3.888365,-1.955961,5.383545,2.441937,-0.868291,-0.440187,-3.401809,0.979744,-2.302334,3.173240,1.073207,2.037330,3.918667,3.067459,2.559919,-3.983208,0.559083,3.022074,5.989441,0.176212,-3.111691,3.910322,0.856177,6.811514,2.609888,-3.983208,5.989441,0.328051,0.2
243,0.6673587350538956,1.5774232200154203,20,53,1.5368108975212147,0.7550005819061262,0.3324308635521182,32,0.11589069869158188,-0.489372,-3.835292,0.568381,1.423176,2.822796,1.456699,0.855065,2.388971,2.751978,-2.096886,2.386443,-2.557621,0.276242,-1.226611,3.875160,-1.991252,5.386577,2.388572,-0.885658,-0.385770,-3.379490,0.981918,-2.301703,3.180007,1.097553,2.014634,3.904694,3.067389,2.555947,-3.965888,0.568477,3.041134,5.991557,0.168468,-3.124125,3.907178,0.856093,6.810442,2.609682,-3.965888,5.991557,0.328045,0.2
457,0.6322361316135723,1.5542785399088497,21,48,1.6265379837045775,0.6928037170505683,0.33212953004713575,36,0.2846351429128217,-0.530061,-3.828000,0.554292,1.420923,2.834587,1.465582,0.874276,2.373924,2.760280,-2.122572,2.375557,-2.518820,0.238418,-1.255995,3.862697,-1.994213,5.474419,2.451275,-0.881676,-0.379825,-3.359569,0.930402,-2.258744,3.181503,1.100626,2.049367,3.937859,3.052223,2.561636,-3.988509,0.503052,2.989363,6.003547,0.172248,-3.149626,3.916026,0.856013,6.845863,2.616460,-3.988509,6.003547,0.327165,0.3
233,0.932463974504095,1.482308117496803,25,52,1.5631782764036823,0.7807896836628921,0.3457521726718824,35,0.13410404489644412,-0.670588,-3.811472,0.604823,1.534650,2.802971,1.645509,0.821460,2.422900,2.682398,-2.051031,2.428010,-2.473121,0.354812,-1.272856,3.861567,-1.911916,5.371942,2.365824,-0.847021,-0.549595,-3.434138,0.980195,-2.463901,3.179966,1.198127,2.045256,3.971188,3.051982,2.489090,-3.997262,0.423191,3.036389,6.060570,0.210097,-3.120850,3.877085,0.856007,6.868254,2.620735,-3.997262,6.060570,0.326629,0.3
286,0.6720078278676387,1.4586063119743402,25,47,1.5376756078652973,0.6995007931527447,0.3313983679409834,31,0.10340508726327452,-0.733156,-3.806265,0.626490,1.582549,2.783725,1.764204,0.794697,2.457716,2.662696,-2.035668,2.428337,-2.447563,0.393436,-1.295875,3.851203,-1.895996,5.310245,2.301888,-0.842004,-0.609164,-3.445934,0.991543,-2.540377,3.195204,1.257345,2.049768,3.983584,3.024934,2.433062,-4.000568,0.429249,3.059413,6.063604,0.244046,-3.115668,3.892131,0.855912,6.871872,2.621426,-4.000568,6.063604,0.326506,0.2
178,0.12262279900397721,1.636782869211931,10,53,1.5500383358138645,0.7480155432138844,0.12267737385852595,11,0.1754503231763674,-0.298388,-3.956924,0.621587,1.266250,2.960694,1.423395,0.880218,2.469485,2.710584,-2.037276,2.315271,-2.669435,0.255009,-1.306205,3.912557,-1.909745,5.513872,2.620587,-0.876960,-0.426590,-3.289991,1.037497,-2.201461,3.184211,1.134630,2.057588,3.905665,2.961729,2.392891,-4.043056,0.291857,3.042358,6.058908,0.113928,-3.133979,3.828042,0.855800,6.886064,2.624131,-4.043056,6.058908,0.326127,0.2
