trial,blend_rate,borrow_penalty,equal_weight_blend,floor_ann_vol,momentum_lookback,rebalance_freq,spike_multiplier,spread_penalty,vol_lookback_days,zero_negative,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30,Month_31,Month_32,Month_33,Month_34,Month_35,Mean_Sharpe,Var_Sharpe,Std_Sharpe,Min_Sharpe,Max_Sharpe,Objective_Value,Duration_s
298,0.8906453485522887,0.7406895652509834,0.0385621144695476,0.16193744909189592,53,27,1.3793281373956967,0.7927223816602478,14,True,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.229723,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.822365,6.135052,2.476904,-4.306618,5.614684,0.332013,0.2
237,0.8769654699002917,0.7185254631315734,0.0387532774900348,0.15945673109848874,57,60,1.3423450980486487,0.7444072343949242,14,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.229112,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.822348,6.134968,2.476887,-4.306618,5.614684,0.332009,0.2
175,0.10417279413088446,0.6273123015446884,0.007801704225124783,0.1942044802439143,53,55,1.5728968428462808,0.7724011559349933,11,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.325515,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.686741,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,-2.087294,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.822173,6.018047,2.453171,-4.306618,5.614684,0.335147,0.2
257,0.8118730812883734,0.5885215339683731,0.045224111922799695,0.16426668302454878,54,60,1.3695243023824575,0.8280807701597866,15,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,3.208318,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.745080,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,-2.057663,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.818120,6.001884,2.449874,-4.306618,5.614684,0.333944,0.2
366,0.9123520170019185,0.6676252026582314,0.012134069697570467,0.17196776565582741,53,59,1.283485892371507,0.8501667448483008,14,True,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.994720,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.815837,6.104258,2.470680,-4.306618,5.614684,0.330208,0.2
211,0.7121509335652576,0.8334336300946298,0.017721412297968482,0.18231224061243448,53,56,1.2837931874819721,0.6660513283214962,13,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.979216,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.815407,6.102335,2.470290,-4.306618,5.614684,0.330085,0.2
391,0.7943908800170265,0.7352440227427972,0.02686232304392753,0.16399100372887365,53,60,1.2215085260016632,0.751566583994359,18,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,2.953517,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-3.066983,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.814693,6.099175,2.469651,-4.306618,5.614684,0.329882,0.2
354,0.7865355547286947,0.6426045902127984,0.44374109741709805,0.16440191745053054,52,59,1.322024218693866,0.8146245486781202,15,True,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,1.428917,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-1.590511,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,0.782670,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.813356,5.714039,2.390406,-4.306618,5.614684,0.340259,0.2
397,0.7784039918365876,0.6735213279121887,0.016572866501156806,0.15191832732425395,51,58,1.296470847375764,0.7693444401503289,16,False,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,-2.181662,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.700145,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,3.043724,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.800602,6.001784,2.449854,-4.306618,5.614684,0.326796,0.2
304,0.9316323362679879,0.7320590316677456,0.017213827611100872,0.15774018491421699,51,58,1.3956210213645843,0.6891486060597798,16,True,2.499707,-4.306618,0.501350,0.890414,1.072568,0.619337,-2.181662,4.153142,2.766910,-1.614631,1.982255,-3.191358,-1.009864,-0.357872,2.389245,1.980990,2.861171,1.120364,-0.701131,2.224802,-1.248130,0.862770,-2.316704,1.815518,0.879711,0.395671,3.777184,0.634215,3.043281,-3.428097,3.890660,3.337861,5.614684,-1.189512,-3.104652,4.156654,0.800562,6.001812,2.449860,-4.306618,5.614684,0.326779,0.2
